"","All","EBS","NBS"
"1994",3115.19485536745,5253.40147522845,129.459211114333
"1995",3361.33367240765,5510.05148880471,150.303154522997
"1996",1525.46605589959,3945.52732522662,84.2300253209697
"1997",1743.38028099685,4887.55368964691,140.599036371414
"1998",944.968559072476,3345.05436673505,101.875536276556
"1999",2034.92848994622,4256.25059966191,101.602236613937
"2000",859.105942868456,2414.51664818656,60.1198968031084
"2001",1796.63380810901,6108.45726763737,107.445766055183
"2002",1022.24171351076,3517.04047020081,76.6578924691304
"2003",1323.7532134014,4362.85530537658,125.103292037961
"2004",1359.13169786864,3624.58454113079,86.9651725367086
"2005",893.267809318435,2034.9898572333,65.9285401461137
"2006",1002.41408860455,1852.08241328911,47.7767735197301
"2007",1623.54086960691,3113.44538711298,76.8112790063034
"2008",1760.37783073861,3307.38483307781,66.6912475476552
"2009",4499.7018657196,5912.00172793414,153.178656898359
"2010",6116.42516457661,6546.0267202899,238.623431661186
"2011",6719.06813968889,14550.8473763771,226.220320999818
"2012",1755.61657377867,3228.42311112138,56.3595004596515
"2013",838.081462492054,2255.21053728013,42.4783989282796
"2014",2549.1393824992,11727.9113242954,208.324033406491
"2015",4428.18720403431,11038.3127958897,260.256426612798
"2016",4381.09740687513,11806.3077502415,561.234506898003
"2017",7473.74077791002,6702.8679319125,2478.90999918272
"2018",3665.90558364012,4161.17634832891,1346.16747902058
"2019",3443.76271956422,3062.10924502977,1280.72248522711
